Country,City,University Name,Language of Study,Tuition,Award,School,Requirements
Germany,Konstanz,University of Freiburg,"English,  German",Program Fees: Social Fee,Funding: IE Award and Baden-Wuerttemberg Scholarship,All,Minimum GPA: 2.25 (Undergraduates) or B (Graduates).
Germany,Frankfurt,University of Konstanz,"English,  German",Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 2.25 (Undergraduates) or B (Graduates). Language requirement: depends on the course selections, B1 level in German may be needed."
Germany,Darmstadt,Goethe University of Frankfurt,"English,  German",Program Fees: Enrollment fee (approx. 230‚¬),Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: Minimum CGPA: 2.25 (regular exchange).
Germany,Berlin,Technical University Darmstadt,"English,  German",Program Fee: No Charge,"Funding: IE Award, DAAD",All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates).
Hong Kong,Hong Kong,Humboldt University of Berlin,"Chinese,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.5
Hong Kong,Hong Kong,City University of Hong Kong,"Chinese,  English",Program Fees: Administration Fee,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.5 (3.0 for law courses)
Hong Kong,Hong Kong,Chinese University of Hong Kong,English,Program Fees: Accommodation fee,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
Hong Kong,Hong Kong,Hong Kong University of Science &#038; Technology,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 2.25 (3 for Business and Economics, 3.33 for Law) and B for Grad"
Austria,Vienna,University of Hong Kong,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: B
India,Mumbai,Central European University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates).
Ireland,Maynooth,"Indian Institute of Technology, Bombay",English,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 3.0
Ireland,Dublin,National University of Ireland,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.1 with specific requirements for some departments (i.e. 3.5 CGPA for Economics and Philosophy and 3.3 CGPA for Political Science)
Ireland,Dublin,Trinity College Dublin,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 3.0
Israel,Haifa,"University College, Dublin","English,  Hebrew",Program Fees: Application fee,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates). Must have completed two years of study.
Israel,Tel Aviv,Technion-Israel Institute of Technology,English,Program Fee: No Charge,Funding: IE Award and Coburn Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Israel,Jerusalem,Tel Aviv University,"English,  Hebrew",Program Fee: No Charge,"Funding: IE Award, CFHU Award and Coburn Award (Victoria College)",All,"Minimum CGPA: 3.0 (Undergraduates), 3.2 (Graduates)"
Italy,Pavia,Hebrew University of Jerusalem,"English,  Italian",Program Fee: No Charge,Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: B
Italy,Sienna,Institute for Advanced Study in Pavia,"English,  Italian",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum GPA: 2.25 (Undergraduates) or B (Graduates). Italian B1 recommended.
Italy,Milan,University of Siena,"English,  Italian",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25
Jamaica,Mona,Bocconi University,English,Program Fees: Miscellaneous/Administrative Fees,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Japan,Osaka,University of the West Indies,"English,  Japanese",Program Fee: No Charge,"Funding: IE Award, JASSO scholarship and host institution funding",All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Japan,Kyoto,Osaka University,"English,  Japanese",Program Fee: No Charge,Funding: IE Award and JASSO Scholarship,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates).
Japan,Tokyo and Kanagawa,Kyoto University,"English,  Japanese",Program Fee: No Charge,Funding: IE Award and JASSO Scholarship,All,Minimum CGPA: 3.0
Japan,Nishinomiya,Keio University,"English,  Japanese",Program Fees: Program fees,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
Japan,Akita,Kwansei Gakuin University,English,Program Fee: No Charge,Funding: IE Award and JASSO scholarship,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),"Minimum CGPA: 2.5, and have completed at least two semesters at UofT at the time of application"
Japan,Tokyo,Akita International University,"English,  Japanese",Program Fee: No Charge,"Funding: IE Award, JASSO and Funding From Host Institution (For students planning to enter Japanse Language Program(JLP))",All,Minimum CGPA is different depending on School/Centre at Waseda: CGPA 3.0 (most of the Schools including Commerce and SILS)
Japan,Tokyo,Waseda University,"English,  Japanese",Program Fee: No Charge,Funding: IE Award and JASSO scholarship,All,Minimum CGPA 3.0
Mexico,Mexico City,University of Tokyo,"English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.9 (Undergraduates) or B (Graduates)
Mexico,Mexico City,Technical University of Monterrey,Spanish,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Netherlands,Utrecht,National Autonomous University of Mexico,"Dutch,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergrad-3 for UCU or UCR) or B (Graduates)
Netherlands,Delft,Utrecht University,"Danish,  English",Program Fees: Miscellaneous fees,Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: 2.7 (Undergraduates) or B (Graduates)
Netherlands,Amsterdam,Delft University of Technology,"Dutch,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 3.0 (Undergraduates) or B (Graduates), Must have completed 2 years of studies at the time of departure for exchange."
New Zealand,Dunedin,University of Amsterdam,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.7 (Undergraduates) or B (Graduates)
New Zealand,Auckland,University of Otago,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3 (Undergraduates) or B (Graduates)
Norway,Oslo,University of Auckland,"English,  Norwegian",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum GPA: 2.25 (Undergraduates) or B (Graduates)
UK (Scotland),St. Andrews,University of Oslo,English,Program Fee: No Charge,Funding: IE Award and Funding From Host Institution,All,Minimum CGPA: 3.2 (Undergraduates) and B (Graduates)
UK (Scotland),Edinburgh,University of St Andrews,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
UK (Scotland),Strathclyde,University of Edinburgh,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
Singapore,Singapore,University of Strathclyde,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All Ontario Institute for Studies in Education,Minimum CGPA: Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Singapore,Singapore,Nanyang Technological University,English,Program Fees: Miscellaneous Student Fees,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
South Korea,Seoul,National University of Singapore,"English,  Korean",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.5
South Korea,Seoul,Ewha Womans University,"English,  Korean",Program Fees: N/A,Funding: IE Award and funding from host institution,All,Students must be in second year or above at the time of applying for the Korea University exchange program.
South Korea,Seoul,Korea University,"English,  Korean",Program Fee: No Charge,Funding: IE Award and Funding From Host Institution,All,Minimum CGPA: 2.5 (Undergraduates) or B (Graduates)
South Korea,Seoul,Seoul National University,"English,  Korean",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.5 (Undergraduate) or B (Graduate)
South Korea,Daejeon,Yonsei University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Spain,Salamanca,Korea Advanced Institute of Science &#038; Technology,Spanish,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25
Spain,Granada,University of Salamanca,"English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25 (Undergraduate) or B (Graduate)
Spain,Barcelona,University of Granada,"Catalan,  English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 3.0
Spain,Madrid,Pompeu Fabra University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.33
Spain,Madrid,IE University,Spanish,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25
Sweden,Stockholm,Autonomous University of Madrid,"English,  Swedish",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25
Sweden,Lund,Karolinska Institute,"English,  Swedish",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Switzerland,ZÃ¼rich,Lund University,"English,  German",Program Fee: No Charge,"Funding: IE Award, Funding from Host Institution, Heyning-Roelli Foundation Scholarship, ThinkSwiss Research Scholarships",All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates); exchange available after 2 years of study;
Switzerland,Geneva,ETH-Zurich Swiss Federal Institute of Technology,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 or B
Switzerland,Lausanne,University of Geneva,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.75
Taiwan,Taipei,Ecole Polytechnique Fédérale de Lausanne,"Chinese,  English",Program Fees: Miscellaneous fees,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Thailand,Bangkok,National Taiwan University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Thailand,Bangkok,King Mongkut&#8217;s University of Technology Thonburi,"English,  Thai",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.75
Trinidad &amp; Tobago,St. Augustine,Chulalongkorn University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
Turkiye,Istanbul,University of the West Indies,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: Minimum CGPA: 2.25 (Undergraduates) and 2.5 (Graduates)
UK (Wales),Cardiff,Koc University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0
Denmark,Kongens Lyngby,Cardiff University,"Danish,  English",Program Fees: Introductory Fee (approx. CAD 30),Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: 2.25
France,,Technical University of Denmark,"English,  French",Program Fee: No Charge,Funding: IE Award and MITACS,Applied Science and Engineering,Minimum CGPA: 2.25 (Undergraduates).
France,Palaiseau,ISAE-SUPAERO,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 3.0 (Undergraduates) or B (Graduates). Must have completed two years of study. Language Requirement: depending on course selection for graduate program, B2 level in French is required."
France,Paris,Ecole Polytechnique,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Spain,Barcelona,Sorbonne University,"Catalan,  English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Singapore,Singapore,University of Barcelona,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Chile,Santiago,Singapore Management University,"English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0
Italy,Milan,Pontifical Catholic University of Chile,"English,  Italian",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.75
Germany,Hamburg,Università Cattolica del Sacro Cuore,"English,  German",Program Fees: Transportation fee,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Italy,Trieste,University of Hamburg,"English,  Italian",Program Fee: No Charge,Funding: Institutional Excellence Award,Faculty of Music,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Belgium,Louvain,Trieste Conservatory of Music Giuseppe Tartini,French,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC) School of Graduate Studies,Minimum CGPA: B (Graduates)
UK (England),Birmingham,Université Catholique de Louvain,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.7
Denmark,Odense,University of Birmingham,"Danish,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,Faculty of Music,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Switzerland,Geneva,Danish National Academy of Music,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: B (Graduate).
UK (England),Manchester,Graduate Institute of International and Development Studies,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Faculty of Music,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Turkiye,Istanbul,Royal Northern College of Music,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.5
Singapore,Singapore,Bogazici University,English,Program Fee: No Charge,Funding: IE Award and Stipend from Internship (appx. 800-1000 SGD),All,Minimum CGPA: 2.25 (Undergraduates)
Germany,Mannheim,Bogazici University,"English,  German",Program Fees: Semester Fee,"Funding: IE Award, Baden-Wuerttemberg Scholarship",All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Lebanon,Beirut,University of Mannheim,"Arabic,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0
South Africa,Johannesburg,American University of Beirut,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.6
China,Shanghai,University of Johannesburg,"Chinese,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
France,Paris,Shanghai University,French,Program Fee: No Charge,Funding: Institutional Excellence Award,"John H. Daniels Faculty of Architecture, Landscape and Design",Minimum cGPA: 2.25 (Undergraduates) or B (Graduates)
Portugal,Porto,Ecole Nationale Supérieure d&#8217;Architecture -Paris Belleville,"English,  Portuguese",Program Fee: No Charge,Funding: IE Award and Erasmus+,All,"Minimum CGPA: 2.25 (Undergraduates) or B (Graduates). Depending on the course selections, Portuguese language requirements B2 may be required."
Australia,Melbourne,University of Porto,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0
Japan,Tokyo,Monash University,"English,  Japanese",Program Fee: No Charge,"Funding: IE Award and funding from host institution (JPY 35,000)",All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Japan,Tokyo,Nihon University,"English,  Japanese",Program Fee: No Charge,Funding: IE Award and JASSO scholarship,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.5
France,Marseille,Aoyama Gakuin University,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.7
Germany,Berlin,Aix-Marseille University,"English,  German",Program Fees: Social fees of app. 270 euros per semester,Funding: IE Award and Erasmus+,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Belgium,Leuven,Free University of Berlin,"Dutch,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 2.25 (Undergraduates) or B (Graduates). Language Requirement: Dutch. Depending on the faculty, the completion of 2 or 3 years of study may be required"
Austria,Salzburg,KU Leuven,"English,  German",Program Fee: No Charge,Funding: Institutional Excellence Award,Faculty of Music,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Mexico,Mexico City,Mozarteum University Salzburg,"English,  Spanish",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.8
Malaysia,Subang Jaya,Instituto Tecnológico Autónomo de México,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0
France,Paris,Monash University,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates).
Germany,Munich,Arts et Métiers,"English,  German",Program Fees: Mandatory semester fee,Funding: IE Award and partner funding,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
France,Grenoble,Technical University of Munich,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
China,Guangdong,University Grenoble Alpes,"Chinese,  English",Program Fees: Campus fee and accommodation fee,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.5 (Undergraduates) or B (Graduates)
Norway,Tromsø,Southern University of Science and Technology,"English,  Norwegian",Program Fee: No Charge,Funding: Institutional Excellence Award,"John H. Daniels Faculty of Architecture, Landscape and Design",Minimum CGPA: 2.25 (undergraduate) or B (graduate)
UK (Scotland),Glasgow,UiT The Arctic University of Norway,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
UK (England),London,University of Glasgow,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Faculty of Law,Minimum CGPA: 3.2 or B (graduate)
UK (Wales),Cardiff,"Center for Transnational Legal Studies, London",English,Program Fee: No Charge,Funding: Institutional Excellence Award,Faculty of Music,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
China,Hangzhou,Royal Welsh College of Music &#038; Drama,"Chinese,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
UK (Scotland),Glasgow,Zhejiang University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
